subject,attention,solutions,score
1,divided,1,2.0
2,divided,1,3.0
3,divided,1,3.0
4,divided,1,5.0
5,divided,1,4.0
6,divided,1,5.0
7,divided,1,5.0
8,divided,1,5.0
9,divided,1,2.0
10,divided,1,6.0
11,focused,1,6.0
12,focused,1,8.0
13,focused,1,6.0
14,focused,1,8.0
15,focused,1,8.0
16,focused,1,6.0
17,focused,1,7.0
18,focused,1,7.0
19,focused,1,5.0
20,focused,1,6.0
1,divided,2,4.0
2,divided,2,4.0
3,divided,2,5.0
4,divided,2,7.0
5,divided,2,5.0
6,divided,2,5.0
7,divided,2,4.5
8,divided,2,7.0
9,divided,2,3.0
10,divided,2,5.0
11,focused,2,5.0
12,focused,2,9.0
13,focused,2,5.0
14,focused,2,8.0
15,focused,2,8.0
16,focused,2,8.0
17,focused,2,7.0
18,focused,2,8.0
19,focused,2,6.0
20,focused,2,6.0
1,divided,3,7.0
2,divided,3,5.0
3,divided,3,6.0
4,divided,3,5.0
5,divided,3,8.0
6,divided,3,6.0
7,divided,3,6.0
8,divided,3,8.0
9,divided,3,7.0
10,divided,3,6.0
11,focused,3,6.0
12,focused,3,8.0
13,focused,3,9.0
14,focused,3,7.0
15,focused,3,7.0
16,focused,3,7.0
17,focused,3,6.0
18,focused,3,6.0
19,focused,3,6.0
20,focused,3,5.0
